time,natural,intermittent,stochastic,constant,Q_to_pump
10/06/2022 00:00,0.258,0.219,0.123,0.225,1.65
10/06/2022 06:00,0.219,0.244,0.134,0.225,1.645
10/06/2022 12:00,0.244,0.221,0.143,0.225,1.665
10/06/2022 18:00,0.221,0.192,0.153,0.225,1.581
11/06/2022 00:00,0.192,0.166,0.165,0.225,1.494
11/06/2022 06:00,0.166,0.153,0.174,0.225,1.434
11/06/2022 12:00,0.153,0.15,0.184,0.225,1.423
11/06/2022 18:00,0.15,0.147,0.194,0.225,1.432
12/06/2022 00:00,0.147,0.144,0.193,0.225,1.419
12/06/2022 06:00,0.144,0.143,0.181,0.225,1.386
12/06/2022 12:00,0.143,0.141,0.167,0.225,1.352
12/06/2022 18:00,0.141,0.142,0.153,0.225,1.321
13/06/2022 00:00,0.142,0.147,0.139,0.225,1.305
13/06/2022 06:00,0.147,0.144,0.125,0.225,1.281
13/06/2022 12:00,0.144,0.144,0.111,0.225,1.248
13/06/2022 18:00,0.144,0.147,0.1,0.225,1.231
14/06/2022 00:00,0.147,0.142,0.102,0.225,1.231
14/06/2022 06:00,0.142,0.139,0.104,0.225,1.221
14/06/2022 12:00,0.139,0.138,0.107,0.225,1.218
14/06/2022 18:00,0.138,0.143,0.11,0.225,1.232
15/06/2022 00:00,0.143,0.15,0.113,0.225,1.262
15/06/2022 06:00,0.15,0.157,0.117,0.225,1.298
15/06/2022 12:00,0.157,0.162,0.121,0.225,1.33
15/06/2022 18:00,0.162,0.162,0.123,0.225,1.344
16/06/2022 00:00,0.162,0.161,0.123,0.225,1.343
16/06/2022 06:00,0.161,0.158,0.124,0.225,1.335
16/06/2022 12:00,0.158,0.15,0.126,0.225,1.317
16/06/2022 18:00,0.15,0.15,0.126,0.225,1.302
17/06/2022 00:00,0.15,0.144,0.126,0.225,1.291
17/06/2022 06:00,0.144,0.144,0.129,0.225,1.284
17/06/2022 12:00,0.144,0.142,0.129,0.225,1.279
17/06/2022 18:00,0.142,0.137,0.131,0.225,1.269
18/06/2022 00:00,0.137,0.135,0.134,0.225,1.262
18/06/2022 06:00,0.135,0.137,0.137,0.225,1.267
18/06/2022 12:00,0.137,0.137,0.14,0.225,1.276
18/06/2022 18:00,0.137,0.134,0.143,0.225,1.275
19/06/2022 00:00,0.134,0.133,0.145,0.225,1.274
19/06/2022 06:00,0.133,0.135,0.148,0.225,1.282
19/06/2022 12:00,0.135,0.14,0.147,0.225,1.294
19/06/2022 18:00,0.14,0.153,0.14,0.225,1.314
20/06/2022 00:00,0.153,0.135,0.134,0.225,1.293
20/06/2022 06:00,0.135,0.129,0.129,0.225,1.234
20/06/2022 12:00,0.129,0.129,0.123,0.225,1.212
20/06/2022 18:00,0.129,0.129,0.115,0.225,1.195
21/06/2022 00:00,0.129,0.131,0.109,0.225,1.188
21/06/2022 06:00,0.131,0.136,0.103,0.225,1.192
21/06/2022 12:00,0.136,0.136,0.145,0.225,1.284
21/06/2022 18:00,0.136,0.137,0.201,0.225,1.397
22/06/2022 00:00,0.137,0.134,0.256,0.225,1.503
22/06/2022 06:00,0.134,0.128,0.312,0.225,1.596
22/06/2022 12:00,0.128,0.125,0.368,0.225,1.691
22/06/2022 18:00,0.125,0.124,0.423,0.225,1.794
23/06/2022 00:00,0.124,0.128,0.478,0.225,1.91
23/06/2022 06:00,0.128,0.132,0.505,0.225,1.982
23/06/2022 12:00,0.132,0.117,0.447,0.225,1.843
23/06/2022 18:00,0.117,0.117,0.389,0.225,1.695
24/06/2022 00:00,0.117,0.117,0.33,0.225,1.578
24/06/2022 06:00,0.117,0.12,0.271,0.225,1.466
24/06/2022 12:00,0.12,0.122,0.213,0.225,1.36
24/06/2022 18:00,0.122,0.134,0.155,0.225,1.271
25/06/2022 00:00,0.134,0.138,0.096,0.225,1.185
25/06/2022 06:00,0.138,0.145,0.078,0.225,1.172
25/06/2022 12:00,0.145,0.134,0.078,0.225,1.163
25/06/2022 18:00,0.134,0.138,0.078,0.225,1.148
26/06/2022 00:00,0.138,0.158,0.079,0.225,1.199
26/06/2022 06:00,0.158,0.144,0.081,0.225,1.215
26/06/2022 12:00,0.144,0.145,0.081,0.225,1.189
26/06/2022 18:00,0.145,0.145,0.081,0.225,1.191
27/06/2022 00:00,0.145,0.13,0.081,0.225,1.162
27/06/2022 06:00,0.13,0.099,0.084,0.225,1.075
27/06/2022 12:00,0.099,0.102,0.084,0.225,1.02
27/06/2022 18:00,0.102,0.102,0.087,0.225,1.031
28/06/2022 00:00,0.102,0.109,0.09,0.225,1.051
28/06/2022 06:00,0.109,0.124,0.09,0.225,1.096
28/06/2022 12:00,0.124,0.141,0.092,0.225,1.163
28/06/2022 18:00,0.141,0.152,0.095,0.225,1.225
29/06/2022 00:00,0.152,0.146,0.098,0.225,1.241
29/06/2022 06:00,0.146,0.134,0.101,0.225,1.209
29/06/2022 12:00,0.134,0.128,0.103,0.225,1.179
29/06/2022 18:00,0.128,0.118,0.107,0.225,1.156
30/06/2022 00:00,0.118,0.112,0.112,0.225,1.134
30/06/2022 06:00,0.112,0.104,0.115,0.225,1.112
30/06/2022 12:00,0.104,0.099,0.117,0.225,1.092
30/06/2022 18:00,0.099,0.102,0.121,0.225,1.095
01/07/2022 00:00,0.102,0.096,0.138,0.225,1.123
01/07/2022 06:00,0.096,0.096,0.152,0.225,1.139
01/07/2022 12:00,0.096,0.094,0.168,0.225,1.166
01/07/2022 18:00,0.094,0.091,0.183,0.225,1.185
02/07/2022 00:00,0.095,0.099,0.197,0.225,1.233
02/07/2022 06:00,0.092,0.113,0.213,0.225,1.285
02/07/2022 12:00,0.09,0.113,0.228,0.225,1.31
02/07/2022 18:00,0.09,0.091,0.225,0.225,1.263
03/07/2022 00:00,0.091,0.099,0.207,0.225,1.245
03/07/2022 06:00,0.099,0.113,0.189,0.225,1.251
03/07/2022 12:00,0.113,0.113,0.171,0.225,1.242
03/07/2022 18:00,0.113,0,0.152,0.225,0.979
04/07/2022 00:00,0.101,0,0.135,0.225,0.921
04/07/2022 06:00,0.127,0.105,0.116,0.225,1.146
04/07/2022 12:00,0.105,0.097,0.099,0.225,1.051
04/07/2022 18:00,0.097,0.096,0.105,0.225,1.044
05/07/2022 00:00,0.096,0.103,0.11,0.225,1.068
05/07/2022 06:00,0.103,0.118,0.113,0.225,1.119
05/07/2022 12:00,0.118,0.125,0.118,0.225,1.172
05/07/2022 18:00,0.125,0.119,0.124,0.225,1.186
06/07/2022 00:00,0.119,0.107,0.129,0.225,1.16
06/07/2022 06:00,0.107,0.1,0.135,0.225,1.134
06/07/2022 12:00,0.1,0.119,0.174,0.225,1.237
06/07/2022 18:00,0.119,0.139,0.251,0.225,1.468
07/07/2022 00:00,0.139,0.108,0.327,0.225,1.599
07/07/2022 06:00,0.108,0.099,0.405,0.225,1.674
07/07/2022 12:00,0.099,0.096,0.483,0.225,1.804
07/07/2022 18:00,0.096,0.096,0.558,0.225,1.95
08/07/2022 00:00,0.096,0.096,0.636,0.225,2.106
08/07/2022 06:00,0.096,0.099,0.714,0.225,2.267
08/07/2022 12:00,0.099,0.101,0.666,0.225,2.182
08/07/2022 18:00,0.101,0.111,0.605,0.225,2.084
09/07/2022 00:00,0.111,0.11,0.546,0.225,1.983
09/07/2022 06:00,0.11,0.111,0.488,0.225,1.868
09/07/2022 12:00,0.111,0.115,0.427,0.225,1.758
09/07/2022 18:00,0.115,0.112,0.368,0.225,1.64
10/07/2022 00:00,0.112,0.105,0.309,0.225,1.502
10/07/2022 06:00,0.105,0.102,0.264,0.225,1.394
10/07/2022 12:00,0.102,0.095,0.242,0.225,1.33
10/07/2022 18:00,0.095,0.093,0.221,0.225,1.268
11/07/2022 00:00,0.093,0.093,0.201,0.225,1.223
11/07/2022 06:00,0.093,0.093,0.178,0.225,1.179
11/07/2022 12:00,0.093,0.09,0.156,0.225,1.128
11/07/2022 18:00,0.09,0.09,0.134,0.225,1.078
12/07/2022 00:00,0.09,0.095,0.111,0.225,1.042
12/07/2022 06:00,0.095,0.096,0.11,0.225,1.052
12/07/2022 12:00,0.096,0.096,0.111,0.225,1.056
12/07/2022 18:00,0.096,0.096,0.111,0.225,1.056
13/07/2022 00:00,0.096,0.095,0.111,0.225,1.053
13/07/2022 06:00,0.095,0.093,0.111,0.225,1.047
13/07/2022 12:00,0.093,0.093,0.112,0.225,1.047
13/07/2022 18:00,0.093,0.092,0.114,0.225,1.048
14/07/2022 00:00,0.092,0.091,0.115,0.225,1.045
14/07/2022 06:00,0.091,0.093,0.117,0.225,1.051
14/07/2022 12:00,0.093,0.093,0.117,0.225,1.057
