NAME,Sample,Time,Flow,Temperature,Treatment,FlumeID,Run,Year,Succession,TAD,Primers,Type,ChlA,BA,pH,C25,O2,Temp,Turbidity,pCO2,Fluoride,Chloride,Nitrite,Bromide,Nitrate,Sulfate,Lithium,Sodium,Ammonium,Magnesium,Potassium,Calcium,Strontium,PO4,NH4,NO3,NO2,DOC,Velocity
B73_B73_N727.N502,Cc102021,10,Constant,control,Cc,23,29,2021,44,NA,16S,Biofilm ,0.710823417,34981310.44,8.512,387,10.01,8.8,13.2,NA,0.012,0.3245,0.0025,0.002,0.2835,89.2035,NA,1.299,NA,8.995,0.296,66.6725,0.758,NA,NA,NA,NA,118.33,
C73_C73_N724.N502,Cc102021,10,Constant,control,Cc,24,29,2021,44,NA,16S,Biofilm ,0.751357583,43662828.06,8.512,399,10.37,6.4,8,NA,0.015,0.388,0.0015,0.002,0.338,91.538,NA,1.3685,0.0165,9.151,0.3125,67.6145,0.7855,NA,NA,NA,NA,159.33,
R1048.16S_R1048.16S_N729.N511,Cc102021,10,Constant,control,Cc,22,26,2021,44,NA,16S,Biofilm ,0.553078833,11860303.76,8.512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
X80A_80A_NSE727.NSE511,Cc102022,10,Constant,control,Cc,22,37,2022,40,NA,16S,Biofilm ,1.647571889,25440013.23,8.378,358,9.12,10.9,75.7,448,11.5,308.5,19.5,2.5,311,78245,10.5,1314.5,8,8235,510,60825.5,682,NA,NA,NA,NA,154.7,0.222013889
X80B_80B_NSE727.NSE511,Cc102022,10,Constant,control,Cc,23,39,2022,40,NA,16S,Biofilm ,2.402516333,34716594.52,8.378,358,9.12,10.9,75.7,448,11.5,308.5,19.5,2.5,311,78245,10.5,1314.5,8,8235,510,60825.5,682,NA,NA,NA,NA,154.7,0.222013889
X80C_80C_NSE727.NSE522,Cc102022,10,Constant,control,Cc,24,41,2022,40,NA,16S,Biofilm ,3.274371333,30445021.65,8.378,358,9.12,10.9,75.7,448,11.5,308.5,19.5,2.5,311,78245,10.5,1314.5,8,8235,510,60825.5,682,NA,NA,NA,NA,154.7,0.222013889
A88_A88_N721.N511,Cc112021,11,Constant,control,Cc,22,27,2021,49,NA,16S,Biofilm ,0.747177167,40516013.64,NA,368,10.17,6,11.6,NA,0.011,0.2545,0.0015,0.002,0.299,81.817,NA,1.142,0.0055,8.468,0.252,62.335,0.728,NA,NA,NA,NA,134.33,
B81_B81_N719.N502,Cc112021,11,Constant,control,Cc,23,29,2021,49,NA,16S,Biofilm ,0.525085917,54542178.06,NA,388,9.98,7,11.2,NA,0.012,0.3225,0.002,0.0015,0.2865,89.1905,NA,1.286,NA,9.005,0.2665,67,0.778,NA,NA,NA,NA,127.33,
C81_C81_N715.N502,Cc112021,11,Constant,control,Cc,24,29,2021,49,NA,16S,Biofilm ,0.528578417,73143783.73,NA,399,10.38,4.9,7.2,NA,0.015,0.3885,0.001,0.002,0.3425,91.118,NA,1.37,0.0155,9.1815,0.3165,67.9435,0.8155,NA,NA,NA,NA,148,
X88A_88A_NSE728.NSE511,Cc112022,11,Constant,control,Cc,22,37,2022,42,NA,16S,Biofilm ,2.529974944,28978499.28,8.355,367,9.69,8.5,47.5,432,11,314,3.5,2,328,78621.5,12,1262,17,8367.5,268.5,57032.5,659.5,NA,NA,NA,NA,128.7,0.224982639
X88B_88B_NSE728.NSE511,Cc112022,11,Constant,control,Cc,23,39,2022,42,NA,16S,Biofilm ,3.6247855,14597979.8,8.355,367,9.69,8.5,47.5,432,11,314,3.5,2,328,78621.5,12,1262,17,8367.5,268.5,57032.5,659.5,NA,NA,NA,NA,128.7,0.224982639
