NAME,Sample,Flow,Temperature,Treatment,FlumeID,Time,Run,Year,Succession,TAD,Primers,Type,ChlA,BA,pH,C25,O2,Temp,Turbidity,pCO2,Fluoride,Chloride,Nitrite,Bromide,Nitrate,Sulfate,Lithium,Sodium,Ammonium,Magnesium,Potassium,Calcium,Strontium,PO4,NH4,NO3,NO2,DOC
X100A_100A_NSE718.NSE517,Cw132022,Constant,warm,Cw,10,13,38,2022,54,NA,18S,Biofilm,2.100503278,35199927.85,8.357,378,9.49,10.8,101.3,558,12,379,3.5,2,320,84024.5,16,1388.5,8,8839.5,298,64924,752.5,NA,NA,NA,NA,142
X100B_100B_NSE718.NSE517,Cw132022,Constant,warm,Cw,11,13,40,2022,54,NA,18S,Biofilm,0.530254111,54380952.38,8.357,378,9.49,10.8,101.3,558,12,379,3.5,2,320,84024.5,16,1388.5,8,8839.5,298,64924,752.5,NA,NA,NA,NA,142
X100C_100C_NSE718.NSE517,Cw132022,Constant,warm,Cw,12,13,42,2022,54,NA,18S,Biofilm,1.8448805,46682539.68,8.357,378,9.49,10.8,101.3,558,12,379,3.5,2,320,84024.5,16,1388.5,8,8839.5,298,64924,752.5,NA,NA,NA,NA,142
X108A_108A_NSE719.NSE517,Cw142022,Constant,warm,Cw,10,14,38,2022,61,NA,18S,Biofilm,0.889523,45851659.45,8.278,373,9.37,11.4,84.4,616,13,411,4.5,3.5,341.5,83634.5,11,1400.5,8,8732,392.5,63687,729,NA,NA,NA,NA,213
X108B_108B_NSE719.NSE517,Cw142022,Constant,warm,Cw,11,14,40,2022,61,NA,18S,Biofilm,0.390166056,43832106.78,8.278,373,9.37,11.4,84.4,616,13,411,4.5,3.5,341.5,83634.5,11,1400.5,8,8732,392.5,63687,729,NA,NA,NA,NA,213
X108C_108C_NSE719.NSE517,Cw142022,Constant,warm,Cw,12,14,42,2022,61,NA,18S,Biofilm,0.515860778,41812554.11,8.278,373,9.37,11.4,84.4,616,13,411,4.5,3.5,341.5,83634.5,11,1400.5,8,8732,392.5,63687,729,NA,NA,NA,NA,213
X116A_116A_NSE720.NSE517,Cw152022,Constant,warm,Cw,10,15,38,2022,67,NA,18S,Biofilm,0.2821455,44049783.55,8.393,399,8.95,13.6,31.1,445,12,459.5,12.5,3.5,308.5,89604,13.5,1688,22.5,9432,1129,65424,774,9.62,15.12,304.96,2.33,NA
X116B_116B_NSE720.NSE517,Cw152022,Constant,warm,Cw,11,15,40,2022,67,NA,18S,Biofilm,0.147490222,62414610.39,8.393,399,8.95,13.6,31.1,445,12,459.5,12.5,3.5,308.5,89604,13.5,1688,22.5,9432,1129,65424,774,9.62,15.12,304.96,2.33,NA
X116C_116C_NSE720.NSE517,Cw152022,Constant,warm,Cw,12,15,42,2022,67,NA,18S,Biofilm,1.060443833,46742063.49,8.393,399,8.95,13.6,31.1,445,12,459.5,12.5,3.5,308.5,89604,13.5,1688,22.5,9432,1129,65424,774,9.62,15.12,304.96,2.33,NA
X124A_124A_NSE721.NSE517,Cw162022,Constant,warm,Cw,10,16,38,2022,75,NA,18S,Biofilm,0.461003833,60625853.78,8.339,400,9.33,9.9,38.8,366,13,465.5,4.5,4,339.5,93003.5,10.5,1556.5,29.5,9504.5,383,67349,831.5,NA,NA,NA,NA,NA
